"Mouse_ID","Code","Transect","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","longitude","latitude","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","REGion","SRY1","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI","farm","Feces_g","year","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","comments","PBS_dil_in_mL","OPG","Ncells","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","observer","n18S_Seq","COI_Seq","ORF470_Seq","eimeriaSpecies","PCRstatus"
"AA_0047","HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","100/120","90/100","80","dm","dd","dm","dm","dm","mm","HI 14",0.65,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,78,83,"mus musculus","2016-09-23",NA,607,"38","0.077/0.076",NA,NA,NA,0,0,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.667224084850343,"13.67608552.497666",1,2016,"Alice","April2018",14,17,18,16,NA,NA,NA,NA,16.25,"",0.1,1625000,4,-6.64,-9.3,"Tabea","negative","negative","negative","Negative","negative"
"AA_0048","HOPPE1","HZ_BR","F",13.676085,52.497666,2016,"d",NA,"mm","mm","mm","mm","mm","mm","100","95/100","100","100","90/100","80","mm","dm","dd","dd","dm","mm","HI 13",0.72,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825,88,92,"mus musculus","2016-09-23",NA,NA,"43",NA,NA,NA,NA,0,0,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.667125099425653,"13.67608552.497666",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-10.2533333333,-9.5633333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0049","HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","100","95/100","100/125","120","90","80","mm","dm","dm","mm","mm","mm","HI 14",0.85,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.53,83,79,"mus musculus","2016-09-23",NA,NA,"49","0.096/0.049",NA,NA,NA,0,3,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,3,0,0.660669007871951,"13.67608552.497666",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-10.5766666667,-10.4533333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0050","HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","120","90/100","80","dm","dd","dm","mm","dm","mm","HI 14",0.7,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.634,82,78,"mus musculus","2016-09-23",NA,NA,"29","0.073/0.074",NA,NA,NA,0,0,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,0,0,0,0.651239322415754,"13.67608552.497666",1,2016,"Alice","April2018",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-11.0466666667,-10.22,"Mert","negative","negative","negative","Negative","negative"
"AA_0051","ZINND","HZ_BR","F",13.9289,52.5028,2016,"d",NA,"mm","mm","mm","dd","mm","mm","100","95","100/125","120","100","80","mm","mm","dm","mm","dd","mm","HI 13",0.76,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.226,76,69,"mus musculus","2016-09-23",NA,NA,"63",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0.613076601048768,"13.928952.5028",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-9.56,-9.6133333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0052","ZINND","HZ_BR","M",13.9289,52.5028,2016,"d","m",NA,"m","d","d","d","m","100","95","100/125","120","70/100","100","mm","mm","dm","mm","dm","dd","HI 13",0.578947368,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.039,83,79,"mus musculus","2016-09-23",TRUE,NA,"81","0.054/0.052","19",87,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.641685248666843,"13.928952.5028",1,2016,"Alice","April2018",1,1,3,2,0,3,0,1,1.375,"",0.1,137500,8,-9.9466666667,-10.19,"Mert","negative","negative","negative","Negative","negative"
"AA_0053","ZINND","HZ_BR","F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm","HI 12",0.608695652,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.184,85,78,"mus musculus","2016-09-23",TRUE,NA,NA,NA,NA,NA,NA,338,12,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,338,0,12,0,0.676373192009812,"13.928952.5028",1,2016,"Alice","April2018",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.7433333333,-0.27,"Mert","Tissue","Tissue","Tissue","E_ferrisi","negative"
"AA_0054","ZINND","HZ_BR","F",13.9289,52.5028,2016,NA,NA,"mm","mm","dd","dd","mm","mm","100","95","100","120","70/100","80","mm","mm","dd","mm","dm","mm","HI 12",0.708333333,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.833,69,72,"mus musculus","2016-09-23",TRUE,NA,"39",NA,NA,NA,NA,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,26,0,8,0,0.62045133702714,"13.928952.5028",1,2016,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Positive_LOST",0.1,NA,0,-1.5566666667,-7.1366666667,"Mert","positive","positive","negative","E_vermiformis","positive"
"AA_0055","FALK8C","HZ_BR","M",13.3064,52.91,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 14",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.181,80,89,"mus musculus","2016-09-23",TRUE,NA,NA,"0.058/0.062","22",105,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.620727547483976,"13.306452.91",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.6033333333,-9.0233333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0056","FALK8C","HZ_BR","F",13.3064,52.91,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd","HI 13",0.08,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.751,62,80,"mus musculus","2016-09-23",TRUE,NA,"6",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0.525586951424165,"13.306452.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.0766666667,-9.2466666667,"Mert","negative","negative","negative","Negative","negative"
