"Mouse_ID","Transect","Code","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI"
"AA_0047","HZ_BR","HOPPE1","M",13.6761,52.4978,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","100/120","90/100","80","dm","dd","dm","dm","dm","mm","HI 14",0.65,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,78,"83","mus musculus",2016-09-23,NA,607,"38","0.077/0.076",NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.667224084850343
"AA_0048","HZ_BR","HOPPE1","F",13.6761,52.4978,2016,"d",NA,"mm","mm","mm","mm","mm","mm","100","95/100","100","100","90/100","80","mm","dm","dd","dd","dm","mm","HI 13",0.72,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825,88,"92","mus musculus",2016-09-23,NA,NA,"43",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.667125099425653
"AA_0049","HZ_BR","HOPPE1","M",13.6761,52.4978,2016,"d","m","m","m","m","m","m","m","100","95/100","100/125","120","90","80","mm","dm","dm","mm","mm","mm","HI 14",0.85,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.53,83,"79","mus musculus",2016-09-23,NA,NA,"49","0.096/0.049",NA,NA,NA,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,3,0,0.660669007871951
"AA_0050","HZ_BR","HOPPE1","M",13.6761,52.4978,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","120","90/100","80","dm","dd","dm","mm","dm","mm","HI 14",0.7,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.634,82,"78","mus musculus",2016-09-23,NA,NA,"29","0.073/0.074",NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,0,0,0,0.651239322415754
"AA_0051","HZ_BR","ZINND","F",13.9289,52.5028,2016,"d",NA,"mm","mm","mm","dd","mm","mm","100","95","100/125","120","100","80","mm","mm","dm","mm","dd","mm","HI 13",0.76,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.226,76,"69","mus musculus",2016-09-23,NA,NA,"63",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0.613076601048768
"AA_0052","HZ_BR","ZINND","M",13.9289,52.5028,2016,"d","m",NA,"m","d","d","d","m","100","95","100/125","120","70/100","100","mm","mm","dm","mm","dm","dd","HI 13",0.578947368,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.039,83,"79","mus musculus",2016-09-23,"TRUE",NA,"81","0.054/0.052","19","87",NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.641685248666843
"AA_0053","HZ_BR","ZINND","F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm","HI 12",0.608695652,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.184,85,"78","mus musculus",2016-09-23,"TRUE",NA,NA,NA,NA,NA,NA,338,12,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,338,0,12,0,0.676373192009812
"AA_0054","HZ_BR","ZINND","F",13.9289,52.5028,2016,NA,NA,"mm","mm","dd","dd","mm","mm","100","95","100","120","70/100","80","mm","mm","dd","mm","dm","mm","HI 12",0.708333333,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.833,69,"72","mus musculus",2016-09-23,"TRUE",NA,"39",NA,NA,NA,NA,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,26,0,8,0,0.62045133702714
"AA_0055","HZ_BR","FALK8C","M",13.3064,52.91,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 14",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.181,80,"89","mus musculus",2016-09-23,"TRUE",NA,NA,"0.058/0.062","22","105",NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.620727547483976
"AA_0056","HZ_BR","FALK8C","F",13.3064,52.91,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd","HI 13",0.08,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.751,62,"80","mus musculus",2016-09-23,"TRUE",NA,"6",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0.525586951424165
