"Mouse_ID","Transect","Code","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI","location","OPG"
"AA_0237","HZ_BR","DANE22","F",13.6664,52.7339,2017,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"11/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Error in tubes : colon wall in liq nitro is in the CEWE tube",21.69,83.04,"87.61","Mus musculus","10-09-17",NA,NA,"0.0303",NA,NA,NA,NA,NA,0,0,0,0,0,"Danewitz 22","pregnant","Czech",NA,NA,NA,NA,NA,"2",4,NA,"FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.696226939976079,"13.6664 52.7339",0
"AA_0238","HZ_BR","BUCHH4","F",13.7897,52.5861,2017,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","125","100/120","100","100","dd","dd","mm","dm","dd","dd","HI 13",0.12,"Germany",NA,NA,NA,NA,NA,NA,NA,"11/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.37,72.92,"69.4","Mus musculus","10-09-17",NA,NA,"0.02",NA,NA,NA,NA,NA,0,0,0,0,0,"Mittelstrasse 4 15345 Altlandsberg (Buchholz)","adult","German",NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.586398077251901,"13.7897 52.5861",0
"AA_0239","HZ_BR","BUCHH4","M",13.7897,52.5861,2017,"d",NA,"d","d","d","d","d","d","94","95/100","125","100/120","100","100","dd","dm","mm","dm","dd","dd","HI 13",0.210526316,"Germany",NA,NA,NA,NA,NA,NA,NA,"11/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,76.19,"79.88","Mus musculus","10-09-17",NA,NA,"0.0235",NA,"0.0163",0.0506,NA,NA,0,0,0,0,0,"Mittelstrasse 4 15345 Altlandsberg (Buchholz)","adult","Czech",NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.607207330994707,"13.7897 52.5861",0
"AA_0240","HZ_BR","BUCHH29","F",13.7881,52.5844,2017,"d",NA,"mm","dm","dm","dm","dm","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0.24,"Germany",NA,NA,NA,NA,NA,NA,NA,"11/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only one salivary gland",10.54,69.72,"67.29","Mus musculus","10-09-17",NA,NA,"0.01",NA,NA,NA,NA,NA,0,0,0,0,0,"29/30 spitzmühlerstrasse Buchholz","adult","German",NA,NA,NA,NA,NA,"0",0,NA,"FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.554879169303173,"13.7881 52.5844",0
"AA_0242","HZ_BR","SCHIFF6","M",14.0378,52.8075,2017,"d","m","m","m","m","m","m","m","100","95","125","120","70","80/100","mm","mm","mm","mm","mm","dm","HI 14",0.9,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.97,79.71,"68.88","Mus musculus","11-09-17",NA,NA,"0.0285",NA,"0.0252",0.1328,NA,NA,0,0,0,0,0,"Am Fährkrug 6, 16259 Bad Freienwalde (Oder)","adult","Czech",0.0576,0.0519,NA,NA,NA,NA,NA,"0.9","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.618045692198513,"14.0378 52.8075",0
"AA_0243","HZ_BR","BRITZ2","M",13.8119,52.8875,2017,"d","m","m","m","m","d","m","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm","HI 14",0.85,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.13,70.42,"70.4","Mus musculus","11-09-17",NA,NA,"0.0164",NA,"0.0114",25,NA,NA,0,0,0,0,0,"Kirchstrasse 2 16230 Britz","adult","Czech",0.0592,0.0628,NA,NA,NA,NA,NA,"0.54","FALSE",TRUE,0,0,0,0,0,5,0,0,0,0.566378426208275,"13.8119 52.8875",5787
"AA_0245","HZ_BR","BESTE6","M",13.6025,52.2225,2017,"d","d","d","d","d","d","d","d","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd","HI 14",0.1,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.13,86.99,"Def","Mus musculus","11-09-17",NA,NA,"0.0495",NA,"0.0355",0.1668,NA,NA,0,0,0,0,0,"Unter den Eichen 6, 15741 Bestensee","adult","Czech",0.1027,0.1003,NA,NA,NA,NA,NA,"0.34","FALSE",TRUE,0,0,0,0,0,21,0,0,0,0.660858591390997,"13.6025 52.2225",26838
"AA_0246","HZ_BR","BESTE6","F",13.6025,52.2225,2017,"d",NA,"mm","mm","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0.16,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"TRUE (collected)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,73.87,"73.54","Mus musculus","11-09-17",NA,NA,"0.0539",NA,NA,NA,NA,NA,0,0,0,0,0,"Unter den Eichen 6, 15741 Bestensee","adult","Czech",NA,NA,0.0028,0.0037,0.0065,"0",0,"0.11","TRUE (collected)",FALSE,0,0,0,0,0,0,0,0,0,0.58613221815539,"13.6025 52.2225",7955
"AA_0254","HZ_BR","MARIEH","M",13.5994,52.2458,2017,"d",NA,"d","d","d","d","d",NA,"94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 12",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Died in cage. Small protocol (1 tube “All digestive tract”)",16.46,82.03,"79.15","Mus musculus","11-09-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marienhof 6 15741 Bestensee","adult","Czech",NA,NA,NA,NA,NA,NA,NA,"0.54","FALSE",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.635552337572529,"13.5994 52.2458",0
"AA_0258","HZ_BR","SCHEN8h","F",13.5953,52.2742,2017,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","120","100","80","dd","dd","dd","mm","dd","mm","HI 13",0.16,"Germany",NA,NA,NA,NA,NA,NA,NA,"12/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.03,77.94,"77.52","Mus musculus","11-09-17",NA,NA,"0.03",NA,NA,NA,NA,NA,0,0,0,0,0,"An den Eiskuten 8, 15479 Mittenwalde / Schenkendorf","adult","German",NA,NA,NA,NA,NA,"0",0,"0.3","FALSE",TRUE,0,0,0,0,0,6,0,0,0,0.589368724947445,"13.5953 52.2742",0
