Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
1,50.2591666667,13.3533333333,F,0.020581973,0,0,0,0,0,0,0,0,0
2,50.2591666667,13.3533333333,M,0.027096302,0,0,0,0,0,0,0,0,1
3,50.1494444444,13.2308333333,F,0.032647268,0,0,0,0,0,1,0,0,415
4,50.2216666667,13.3741666667,M,0.026026393,0,0,0,0,0,0,0,0,245
5,50.1772222222,13.2925,F,0.028449502,0,0,0,0,0,0,0,0,160
6,50.1772222222,13.2925,M,0.027452416,0,0,0,2,1,0,27,0,116
7,50.1494444444,13.2308333333,M,0.031135531,0,0,0,0,0,0,0,0,137
8,50.0963888889,12.4713888889,M,0.257766272,0,0,1,0,0,1,1,0,13
9,50.2591666667,13.3533333333,M,0.024908425,0,0,0,0,0,0,0,0,0
10,50.1377777778,12.3902777778,M,0.560912771,0,0,0,4,0,12,0,0,23
11,50.0963888889,12.4713888889,M,0.230853793,0,0,0,0,0,0,0,0,19
12,50.1188888889,12.3038888889,M,0.807494489,0,0,0,0,0,0,0,0,7
13,50.1377777778,12.3902777778,F,0.600570613,0,0,0,0,0,0,0,0,9
14,50.1377777778,12.3902777778,F,0.593147752,0,0,0,10,0,24,0,0,9
15,50.1377777778,12.3902777778,F,0.543540328,0,0,0,0,0,0,0,0,2
16,50.1377777778,12.3902777778,F,0.66975089,0,0,0,0,0,0,0,0,0
17,50.1188888889,12.3038888889,M,0.804323928,0,0,0,0,0,0,0,0,0
18,50.1947222222,11.4375,F,0.986515259,0,0,0,0,0,0,0,2,20
19,50.1947222222,11.4375,M,0.985729967,0,0,0,0,0,0,0,0,61
20,50.0155555556,12.5513888889,M,0.072161172,0,0,0,0,0,0,0,0,0
21,50.0155555556,12.5513888889,F,0.045551601,0,0,0,0,0,0,0,0,31
22,50.0963888889,12.4713888889,M,0.216483516,0,0,1,0,0,0,0,0,1
23,50.0963888889,12.4713888889,F,0.218304843,0,0,0,0,0,0,0,0,0
24,50.1494444444,13.2308333333,M,0.030358449,0,0,0,0,0,0,0,0,38
25,50.1044444444,12.4841666667,F,0.214488636,0,0,0,0,0,3,1,0,0
26,50.2161111111,13.3066666667,M,0.021237642,0,0,0,0,0,0,44,0,0
27,50.2161111111,13.3066666667,F,0.023082386,0,0,0,0,0,0,0,0,17
